Title;Directors;Banning Date;Year;Categorie censura;Censorship Symbols;URL
La corazzata Potemkin;Sergei Eisenstein;1925;1925;politica;∅;https://www.imdb.com/title/tt0015648/
Freaks;Tod Browning;1932;1932;violenza;≡;https://www.imdb.com/title/tt0022913/
La guerra lampo dei Fratelli Marx;Leo McCarey;1933;1933;politica;∅;https://www.imdb.com/title/tt0023969/
Ragazzo;Ivo Perilli;1934;1934;politica;∅;https://www.imdb.com/title/tt0024485/
The Black Cat;Edgar G. Ulmer;1935;1934;violenza e religione;≡∓;https://www.imdb.com/title/tt0024894/
La grande illusione;Jean Renoir;1938;1937;politica;∅;https://www.imdb.com/title/tt0028950/
Abuna Messias (Vendetta africana);Goffredo Alessandrini;1939;1939;politica;∅;https://www.imdb.com/title/tt0031017/
Mr. Smith va a Washington;Frank Capra;1939;1939;politica;∅;https://www.imdb.com/title/tt0031679/
Lo strano signor Vittorio;Jean Grémillon;1940;1938;sesso;∇;https://www.imdb.com/title/tt0029826/
Una tragedia americana;Josef von Sternberg;1940;1931;violenza;≡;https://www.imdb.com/title/tt0021607/
L'assedio dell'Alcazar;Augusto Genina;1940;1940;politca;∅;https://www.imdb.com/title/tt0032225/
Uomini sul fondo;Francesco De Robertis;1941;1941;politica;∅;https://www.imdb.com/title/tt0034346/
Avanti c'è posto...;Mario Bonnard;1942;1942;politica;∅;https://www.imdb.com/title/tt0034481/
Alfa Tau!;Francesco De Robertis;1945;1942;politica;∅;https://www.imdb.com/title/tt0034444/
La follia di Barbablù;Edgar G. Ulmer;1945;1944;politica;∅;https://www.imdb.com/title/tt0036653/
Oltre l'amore;Carmine Gallone;1945;1940;religione;∓;https://www.imdb.com/title/tt0032865/
Scarface - Lo sfregiato;Howard Hawks, Richard Rosson;1946;1932;violenza;≡;https://www.imdb.com/title/tt0023427/
Cesare e Lucrezia Borgia;Abel Gance;1946;1935;religione;∓;https://www.imdb.com/title/tt0026660/
Il bandito;Alberto Lattuada;1946;1946;violenza;≡;https://www.imdb.com/title/tt0038327/
Tormento;Arthur Crabtree;1947;1947;sesso;∇;https://www.imdb.com/title/tt0039306/
Enemy of Women;Alfred Zeisler;1947;1944;violenza;≡;https://www.imdb.com/title/tt0036791/
La nave bianca;Roberto Rossellini;1948;1941;politica;∅;https://www.imdb.com/title/tt0033941/
La questione russa;Mikhail Romm;1948;1948;politica;∅;https://www.imdb.com/title/tt0039790/
Estasi;Gustav Machatý;1949;1933;;∇;https://www.imdb.com/title/tt0022867/
Alessandro Nevsky;Sergei Eisenstein, Dmitriy Vasilev;1949;1938;politica;∅;https://www.imdb.com/title/tt0029850/
Brevet fra afdøde;Johan Jacobsen;1949;1946;violenza;≡;https://www.imdb.com/title/tt0124300/
Manon;Henri-Georges Clouzot;1949;1949;religione;∓;https://www.imdb.com/title/tt0041634/
Nodo alla gola;Alfred Hitchcock;1949;1948;violenza;≡;https://www.imdb.com/title/tt0040746/
La jena: L'uomo di mezzanotte;Robert Wise;1949;1945;violenza;≡;https://www.imdb.com/title/tt0037549/
Superstizione;Michelangelo Antonioni;1950;1948;religione;∓;https://www.imdb.com/title/tt0041934/
Maya;Raymond Bernard;1950;1949;politica;∅;https://www.imdb.com/title/tt0041646/
Clochemerle;Pierre Chenal;1950;1948;religione;∓;https://www.imdb.com/title/tt0040236/
Scipione l'africano;Carmine Gallone;1950;1937;religione;∓;https://www.imdb.com/title/tt0029526/
La caduta di Berlino;Mikheil Chiaureli;1950;1950;politica;∅;https://www.imdb.com/title/tt0041727/
Autant en emporte l'histoire - La vie privée d'Hitler et d'Eva Braun;Jacques Willemetz;1950;1949;politica;∅;https://www.imdb.com/title/tt1483743/
Will It Happen Again?;Dwain Esper;1950;1948;violenza;≡;https://www.imdb.com/title/tt0204454/
La vergine scaltra;Marcel Carné;1950;1950;politica;∅;https://www.imdb.com/title/tt0041640/
Solo Dio può giudicare;Richard Pottier;1950;1950;politica;∅;https://www.imdb.com/title/tt0042729/
They Were Sisters;Arthur Crabtree;1950;1945;violenza;≡;https://www.imdb.com/title/tt0038161/
I trecento della Settima;Mario Baffico;1950;1943;politca;∅;https://www.imdb.com/title/tt0035472/
Valzer celeste;Géza von Cziffra;1951;1948;violenza;≡;https://www.imdb.com/title/tt0040439/
I parenti terribili;Jean Cocteau;1951;1948;religione;∓;https://www.imdb.com/title/tt0040682/
Gatan;Gösta Werner;1951;1949;politica;∅;https://www.imdb.com/title/tt0041402/
L'ultima tappa;Wanda Jakubowska;1951;1948;sesso;∇;https://www.imdb.com/title/tt0040674/
No Orchids for Miss Blandish;St. John Legh Clowes;1951;1948;violenza;≡;https://www.imdb.com/title/tt0040647/
La tratta delle bianche;Luigi Comencini;1952;1952;violenza;≡;https://www.imdb.com/title/tt0046455/
L'uomo dalla croce;Roberto Rossellini;1952;1943;religione;∓;https://www.imdb.com/title/tt0036483/
Un palmo di terra;Frigyes Bán;1952;1948;politica;∅;https://www.imdb.com/title/tt0040859/
Il piacere;Max Ophüls;1952;1952;;∇;https://www.imdb.com/title/tt0045034/
Gibier de potence;Roger Richebé;1952;1951;sesso;∇;https://www.imdb.com/title/tt0140074/
Comacchio piange;Fabio Pittorru;1952;1951;politca;∅;https://www.imdb.com/title/tt0336187/
Latuko;Edgar M. Queeny;1953;1952;politica;∅;https://www.imdb.com/title/tt0371787/
Il cavaliere della stella d'oro;Yuli Raizman;1953;1951;violenza;≡;https://www.imdb.com/title/tt0043701/
La grande svolta;Fridrikh Ermler;1953;1945;politica;∅;https://www.imdb.com/title/tt0037426/
Girls in the Night;Jack Arnold;1953;1953;violenza;≡;https://www.imdb.com/title/tt0045818/
La Cina libera;Sergey Gerasimov, Eduard Volk;1953;1951;politica;∅;https://www.imdb.com/title/tt0042785/
La vittoria del popolo cinese;Ivan Lukinsky, Leonid Varlamov;1953;1950;politca;∅;https://www.imdb.com/title/tt0396813/
All'ovest niente di nuovo;Lewis Milestone;1953;1930;violenza;≡;https://www.imdb.com/title/tt0020629/
Totò e Carolina;Mario Monicelli;1954;1954;politica;∅;https://www.imdb.com/title/tt0048739/
Grisbi;Jacques Becker;1954;1954;;∅;https://www.imdb.com/title/tt0046451/
La ronde: La giostra dell'amore;Max Ophüls;1954;1950;sesso;∇;https://www.imdb.com/title/tt0042906/
Bagarres;Henri Calef;1954;1948;violenza;≡;https://www.imdb.com/title/tt0040146/
Varsavia città indomita;Jerzy Zarzycki;1954;1950;politica;∅;https://www.imdb.com/title/tt0042731/
Mom and Dad;William Beaudine;1955;1945;religione;∓;https://www.imdb.com/title/tt0040603/
Il bruto;Luis Buñuel;1955;1953;violenza;≡;https://www.imdb.com/title/tt0044453/
I diabolici;Henri-Georges Clouzot;1955;1955;violenza;≡;https://www.imdb.com/title/tt0046911/
San Miniato, luglio '44;Paolo Taviani, Vittorio Taviani;1955;1954;politica;∅;https://www.imdb.com/title/tt0183739/
Série noire;Pierre Foucaud;1955;1955;violenza;≡;https://www.imdb.com/title/tt0135664/
Liebe, wie die Frau sie wünscht;Wolfgang Becker;1958;1957;sesso;∇;https://www.imdb.com/title/tt0050640/
Tahiti ou la joie de vivre;Bernard Borderie;1958;1957;sesso;∇;https://www.imdb.com/title/tt0160950/
Dracula il vampiro;Terence Fisher;1958;1958;violenza;≡;https://www.imdb.com/title/tt0051554/
Girls on the Loose;Paul Henreid;1958;1958;violenza;≡;https://www.imdb.com/title/tt0051663/
La stagione del sole;Kô Nakahira;1959;1956;violenza;≡;https://www.imdb.com/title/tt0160440/
Il diavolo in corpo;Claude Autant-Lara;1959;1947;religione;∓;https://www.imdb.com/title/tt0038476/
Gli amanti;Louis Malle;1959;1958;sesso;∇;https://www.imdb.com/title/tt0052556/
The Beat Generation;Charles F. Haas;1959;1959;violenza;≡;https://www.imdb.com/title/tt0052610/
La dolce vita;Federico Fellini;1960;1960;sesso;∇;https://www.imdb.com/title/tt0053779/
L'avventura;Michelangelo Antonioni;1960;1960;sesso;∇;https://www.imdb.com/title/tt0053619/
