Const,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date in Italy,Directors,Banning Date,Rerating,Sex and Nudity,Violence and Blood,Obscenity,"Alcool, Drugs and Smoking",Scary scenes
tt0073650,Salò o le 120 giornate di Sodoma,Salò o le 120 giornate di Sodoma,https://www.imdb.com/title/tt0073650/,Film,5.8,117,1975,Drammatico,67610,1/10/1976,Pier Paolo Pasolini,1975,VM18,Grave,Grave,Grave,Leggera,Grave
tt0078935,Cannibal Holocaust,Cannibal Holocaust,https://www.imdb.com/title/tt0078935/,Film,5.8,95,1980,"Avventura, Horror",62975,2/7/1980,Ruggero Deodato,1980,"VM18, Cut, VM14",Grave,Grave,Moderata,Moderata,Grave
tt0051554,Dracula il vampiro,Dracula,https://www.imdb.com/title/tt0051554/,Film,7.2,82,1958,"Drammatico, Horror",28940,12/20/1958,Terence Fisher,1958,"VM16, Cut",Nessuna,Moderata,Nessuna,Leggera,Moderata
tt0070849,Ultimo tango a Parigi,Ultimo tango a Parigi,https://www.imdb.com/title/tt0070849/,Film,6.8,129,1972,"Drammatico, Sentimentale",59613,12/16/1972,Bernardo Bertolucci,1972,"VM18, Cut, VM14",Grave,Moderata ,Grave,Leggera,Moderata
tt0068473,Un tranquillo weekend di paura,Deliverance,https://www.imdb.com/title/tt0068473/,Film,7.7,109,1972,"Avventura, Drammatico, Thriller",121833,11/17/1972,John Boorman,1972,"VM18, VM14, Cut",Grave,Grave,Moderata,Leggera,Grave
tt0022913,Freaks,Freaks,https://www.imdb.com/title/tt0022913/,Film,7.8,64,1932,"Drammatico, Horror",51800,2/20/1932,Tod Browning,1932,Cut,Nessuna,Leggera,Nessuna,Leggera,Moderata
tt0055824,Il promontorio della paura,Cape Fear,https://www.imdb.com/title/tt0055824/,Film,7.7,106,1962,"Drammatico, Thriller",32646,10/30/1962,J. Lee Thompson,1962,"VM18, VM14, Cut",Leggera,Moderata,Nessuna,Leggera,Moderata
tt0069089,Pink Flamingos,Pink Flamingos,https://www.imdb.com/title/tt0069089/,Film,6.0,93,1972,"Commedia, Poliziesco",28722,3/31/1976,John Waters,1983,,Grave,Grave,Grave,Moderata,Grave
tt0071508,Il mostro è in tavola... barone Frankenstein,Flesh for Frankenstein,https://www.imdb.com/title/tt0071508/,Film,5.8,95,1973,"Horror, Fantascienza",7159,3/14/1975,"Paul Morrissey, Antonio Margheriti",1974,"VM18, Cut, VM14",Moderata,Grave,Leggera,Leggera,Moderata
tt0071359,Racconti immorali,Contes immoraux,https://www.imdb.com/title/tt0071359/,Film,5.6,103,1973,"Drammatico, Sentimentale",5747,8/28/1974,Walerian Borowczyk,1975,"VM18, Cut",Grave,Moderata,Leggera,Leggera,Leggera
